Facility	Address	City	State	Zip	Score	Mismatch	Facility	Address	City	State	Zip
Presence Our Lady of the Resurrection Medical Center	5645 West Addison Street	Chicago	IL	60634	50	1	Community First Medical Center	5645 W Addison St	Chicago	IL	60634
RC Hospital	611 East Fairview Avenue	Olivia	MN	56277	50		Renville County Hospital	611 E Fairview Ave	Olivia	MN	56277
Saint Clares Health System Saint Clares Hospital Denville	25 Pocono Road	Denville	NJ	7834	50	1	Northwest Covenant Medical Center	25 Pocono Rd	Denville	NJ	7834
Barnabas Health Monmouth Medical Center Southern Campus	600 River Avenue	Lakewood	NJ	8701	50	1	Kimball Medical Center	600 River Ave	Lakewood	NJ	8701
Spartanburg Regional Healthcare System Village at Phelham Hospital	250 Westmoreland Road	Greer	SC	29651	50		Pelham Medical Center	250 Westmoreland Rd	Greer	SC	29651
Polly Ryon Hospital Authority	1705 Jackson Street	Richmond	TX	77469	50	1	OakBend Medical Center	1705 Jackson St	Richmond	TX	77469
Barron Medical Center	1222 Woodland Avenue	Barron	WI	54812	50	1	Mayo Clinic Health System-Northland	1222 Woodland Ave	Barron	WI	54812
Mount Sinai Medical Center Long Island	25 10 30th Avenue	Long Island City	NY	11102	48.8		Mount Sinai Hospital of Queens	2510 30th Ave	Astoria	NY	11102
Community Health Systems Mountainview Regional Medical Center	4311 East Lohman Avenue	Las Cruces	NM	88001	47		Mountain View Regional Medical Cent	4311 E Lohman Ave	Las Cruces	NM	88011
WCA Hospital of Jamestown	207 Foote Avenue PO Box 840	Jamestown	NY	14702	47		Womans Christian Association Hospit	207 Foote Ave	Jamestown	NY	14701
Northwest Suburban Community Hospital	1625 South State Street	Belvidere	IL	61008	46	1	SwedishAmerican Medical Center - Be	1625 E State St	Belvidere	IL	61008
Community Memorial Hospital	855 Main Street	Oconto Falls	WI	54154	46	1	St Clare Memorial Hospital	855 S Main St	Oconto Falls	WI	54154
Baptist Health South Florida Baptist Childrens Hospital	8940 North Kendall Drive	Miami	FL	33176	45		Baptist Hospital of Miami	8900 N Kendall Dr	Miami	FL	33176
Henry Ford Health System Macomb Hospitals Warren	13355 East 10 Mile Road	Warren	MI	48089	35.1	1	Henry Ford Macomb Hospital - Mt Cle	215 North Ave	Mount Clemens	MI	48043
Novant Health Brunswick Medical Center	240 Hospital Drive NE	Bolivia	NC	28422	35.1	1	Brunswick Community Hospital	1 Medical Center Dr	Supply	NC	28462
Community Health Systems Porter Health Porter Memorial Hospital	814 LaPorte Avenue	Valparaiso	IN	46383	35		Porter Starke Services Inpatient Ca	701 Wall St	Valparaiso	IN	46383
HCA Gulf Coast Corpus Christi Medical Center Doctors Regional	3315 South Alameda Street	Corpus Christi	TX	78411	30	1	Driscoll Childrens Hospital	3533 S Alameda St	Corpus Christi	TX	78411
Adventist Health Florida Hospital Apopka	201 North Park Avenue	Apopka	FL	32703	27	1	La Amistad Residential Treatment Ce	1650 N Park Ave	Maitland	FL	32751
Beth Israel Medical Center Kings Highway Division	3201 Kings Highway	Brooklyn	NY	11234	27		New York Community Hospital	2525 Kings Hwy	Brooklyn	NY	11229
Banner Health Page Hospital	501 North Navajo	Phoenix	AZ	85062	25.8	1	Banner Good Samaritan Medical Cente	111 E McDowell Rd	Phoenix	AZ	85006
Jackson Health System Jackson South Community Hospital	9333 Southwest 152nd Street	Miami	FL	33157	23.7	1	Jackson Memorial Hospital	1611 NW 12th Ave	Miami	FL	33136
University Specialty Hospital	601 South Charles Street	Baltimore	MD	21230	23	1	Sheppard & Enoch Pratt Hospital	6501 N Charles St	Towson	MD	21204
Sutter Health California Pacific Medical Center Davies Campus	Castro and Duboce Street	San Francisco	CA	94114	22	1	California Pacific Medical Center-S	3555 Cesar Chavez St	San Francisco	CA	94131
Vanguard Health Systems Baptist Health System Mission Trail Baptist Hospital	3333 Research Plaza	San Antonio	TX	78235	19.5	1	Baptist Emergency Hospital	8230 N 1604 W	San Antonio	TX	78249
HCA Gulf Coast East Houston Regional Medical Center	13111 East Freeway PO Box 24216	Houston	TX	77029	14.5	1	Kindred Hospital Houston Medical Ce	6441 Main St	Houston	TX	77030
Wheaton Franciscan Healthcare Wisconsin Elmbrook Memorial Hospital	19333 West North Avenue	Brookfield	WI	53045	13.3	1	LifeCare Hospitals of Wisconsin	2400 Golf Rd	Pewaukee	WI	53072
St Marys Hospital Amsterdam	427 Guy Park Avenue	Hartford	CT	6010	10	1	Bristol Hospital	41 Brewster Rd	Bristol	CT	6010
North Mississippi Medical Center Europa	500 Veterans Memorial Boulevard	Eupora	MS	39744	10	1	Webster Health Services	70 Medical Plaza	Eupora	MS	39744
University Hospitals Case Medical Center	11100 Euclid Avenue	Cleveland	OH	44106	10	1	Louis Stokes VA Medical Center	10701 East Blvd	Cleveland	OH	44106
Select Specialty Hospital York	1001 South George Street 5th Floor	York	PA	17405	10	1	Memorial Hospital	325 S Belmont St	York	PA	17405
Griffin Hospital	130 Division Street	Derby	CT	6518	7	1	Yale New Haven Hospital	1450 Chapel St	New Haven	CT	6511
BayCare Health System St Josephs Hospital South	6901 Simmons Loop	Riverview	FL	33578	7	1	Brandon Regional Hospital	119 Oakfield Dr	Brandon	FL	33511
Adventist Health System Florida Hospital Kissimmee	2450 North Orange Blossom Trail	Kissimmee	FL	34744	7	1	South Lake Hospital	1900 Don Wickham Dr	Clermont	FL	34711
WakeMed Health and Hospitals Apex Healthplex	120 Healthplex Way	Apex	NC	27502	7	1	Cherry Hospital	201 Stevens Mill Rd	Goldsboro	NC	27530
Capital Health Mercer Campus	446 Bellevue Avenue	Trenton	NJ	8618	7	1	St Francis Medical Center	601 Hamilton Ave	Trenton	NJ	8629
North Shore LIJ Health System Syosset Hospital	221 Jericho Turnpike	Syosset	NY	11791	7	1	Brunswick Hall - Center for Behavio	81 Loudon Ave	Amityville	NY	11701
Ellis Hospital McClellan Campus	600 McClellan Street	Schenectady	NY	12304	7	1	Sunnyview Hospital and Rehabilitati	1270 Belmont Ave	Schenectady	NY	12308
