,Facility,Address,City,State,Zip,Score,Mismatch,Facility.1,Address.1,City.1,State.1,Zip.1,Flag,Str1,Str2
4936,PRENTICE WOMENS HOSPITAL,675 N SAINT CLAIR ST,CHICAGO,IL,60611,10.0,1.0,Rehabilitation Institute of Chicago,345 E Superior St,Chicago,IL,60611,n,"PRENTICE WOMENS HOSPITAL, 675 N SAINT CLAIR ST, CHICAGO, IL, 60611","Rehabilitation Institute of Chicago, 345 E Superior St, Chicago, IL, 60611"
4937,PRENTICE WOMENS HOSPITAL,675 N SAINT CLAIR ST STE 21-10,CHICAGO,IL,60611,10.0,1.0,Rehabilitation Institute of Chicago,345 E Superior St,Chicago,IL,60611,n,"PRENTICE WOMENS HOSPITAL, 675 N SAINT CLAIR ST STE 21-10, CHICAGO, IL, 60611","Rehabilitation Institute of Chicago, 345 E Superior St, Chicago, IL, 60611"
4938,PRENTICE WOMENS HOSPITAL,"675 N ST CLAIR, GALTER 21-100""",CHICAGO,IL,60611,10.0,1.0,Rehabilitation Institute of Chicago,345 E Superior St,Chicago,IL,60611,n,"PRENTICE WOMENS HOSPITAL, 675 N ST CLAIR, GALTER 21-100"", CHICAGO, IL, 60611","Rehabilitation Institute of Chicago, 345 E Superior St, Chicago, IL, 60611"
4939,NORTHWESTERN MEM HOSP,676 N SAINT CLAIR ST,CHICAGO,IL,60611,10.0,1.0,Rehabilitation Institute of Chicago,345 E Superior St,Chicago,IL,60611,n,"NORTHWESTERN MEM HOSP, 676 N SAINT CLAIR ST, CHICAGO, IL, 60611","Rehabilitation Institute of Chicago, 345 E Superior St, Chicago, IL, 60611"
4940,PRENTICE WOMENS HOSPITAL,676 N SAINT CLAIR ST,CHICAGO,IL,60611,10.0,1.0,Rehabilitation Institute of Chicago,345 E Superior St,Chicago,IL,60611,n,"PRENTICE WOMENS HOSPITAL, 676 N SAINT CLAIR ST, CHICAGO, IL, 60611","Rehabilitation Institute of Chicago, 345 E Superior St, Chicago, IL, 60611"
4941,PRENTICE WOMENS HOSPITAL,676 N SAINT CLAIR ST STE 850,CHICAGO,IL,60611,10.0,1.0,Rehabilitation Institute of Chicago,345 E Superior St,Chicago,IL,60611,n,"PRENTICE WOMENS HOSPITAL, 676 N SAINT CLAIR ST STE 850, CHICAGO, IL, 60611","Rehabilitation Institute of Chicago, 345 E Superior St, Chicago, IL, 60611"
4942,COLUMBIA PHARMACY INC,2929 S WABASH AVE STE 101,CHICAGO,IL,60616,10.0,1.0,Mercy Hospital and Medical Center,2525 S Michigan Ave,Chicago,IL,60616,n,"COLUMBIA PHARMACY INC, 2929 S WABASH AVE STE 101, CHICAGO, IL, 60616","Mercy Hospital and Medical Center, 2525 S Michigan Ave, Chicago, IL, 60616"
4943,CRAWFORD MEMORIAL HOSPITAL,509 W UNIVERSITY AVE,URBANA,IL,61801,10.0,1.0,Carle Foundation Hospital,611 W Park St,Urbana,IL,61801,n,"CRAWFORD MEMORIAL HOSPITAL, 509 W UNIVERSITY AVE, URBANA, IL, 61801","Carle Foundation Hospital, 611 W Park St, Urbana, IL, 61801"
4944,IROQUOIS MEMORIAL HOSP & RES HOME,509 W UNIVERSITY AVE,URBANA,IL,61801,10.0,1.0,Carle Foundation Hospital,611 W Park St,Urbana,IL,61801,n,"IROQUOIS MEMORIAL HOSP & RES HOME, 509 W UNIVERSITY AVE, URBANA, IL, 61801","Carle Foundation Hospital, 611 W Park St, Urbana, IL, 61801"
4946,INDIANA UNIVERSITY HEALTH INC,11725 N ILLINOIS ST,CARMEL,IN,46032,10.0,1.0,St Vincent Carmel Hospital,13500 N Meridian St,Carmel,IN,46032,n,"INDIANA UNIVERSITY HEALTH INC, 11725 N ILLINOIS ST, CARMEL, IN, 46032","St Vincent Carmel Hospital, 13500 N Meridian St, Carmel, IN, 46032"
4947,ESKENAZI OP CC PH PHS,720 ESKENAZI AVE,INDIANAPOLIS,IN,46202,10.0,1.0,Indiana University Medical Center,550 N University Blvd,Indianapolis,IN,46202,n,"ESKENAZI OP CC PH PHS, 720 ESKENAZI AVE, INDIANAPOLIS, IN, 46202","Indiana University Medical Center, 550 N University Blvd, Indianapolis, IN, 46202"
4948,"PHARMACORR, LLC (INDY""",6002 CORPORATE WAY BLDG B,INDIANAPOLIS,IN,46278,10.0,1.0,Indiana Orthopaedic Hospital,8400 Northwest Blvd,Indianapolis,IN,46278,n,"PHARMACORR, LLC (INDY"", 6002 CORPORATE WAY BLDG B, INDIANAPOLIS, IN, 46278","Indiana Orthopaedic Hospital, 8400 Northwest Blvd, Indianapolis, IN, 46278"
4949,LITTLE COMPANY OF MARY HOSPITAL,6111 Harrison Street Suite 200,Merrillville,IN,46410,10.0,1.0,Methodist Hospital - Southlake Camp,8701 Broadway,Merrillville,IN,46410,n,"LITTLE COMPANY OF MARY HOSPITAL, 6111 Harrison Street Suite 200, Merrillville, IN, 46410","Methodist Hospital - Southlake Camp, 8701 Broadway, Merrillville, IN, 46410"
4950,MEDICAL PARK 11 PHARMACY,11104 PARKVIEW CIRCLE DR,FORT WAYNE,IN,46845,10.0,1.0,Parkview North Hospital,11115 Parkview Plaza Dr,Fort Wayne,IN,46845,n,"MEDICAL PARK 11 PHARMACY, 11104 PARKVIEW CIRCLE DR, FORT WAYNE, IN, 46845","Parkview North Hospital, 11115 Parkview Plaza Dr, Fort Wayne, IN, 46845"
4951,ST JOSEPH HOSPITAL & HEALTH CENTER,1907 W SYCAMORE ST,KOKOMO,IN,46901,10.0,1.0,Howard Regional Health System West,829 N Dixon Rd,Kokomo,IN,46901,n,"ST JOSEPH HOSPITAL & HEALTH CENTER, 1907 W SYCAMORE ST, KOKOMO, IN, 46901","Howard Regional Health System West, 829 N Dixon Rd, Kokomo, IN, 46901"
4952,"NORTON HOSPITALS, INC""",1263 HOSPITAL DR NW STE 110,CORYDON,IN,47112,10.0,1.0,Harrison County Hospital,245 Atwood St,Corydon,IN,47112,n,"NORTON HOSPITALS, INC"", 1263 HOSPITAL DR NW STE 110, CORYDON, IN, 47112","Harrison County Hospital, 245 Atwood St, Corydon, IN, 47112"
4953,JEWISH HOSPITAL,301 GORDON GUTMANN BLVD,JEFFERSONVILLE,IN,47130,10.0,1.0,Clark Memorial Hospital,1220 Missouri Ave,Jeffersonville,IN,47130,n,"JEWISH HOSPITAL, 301 GORDON GUTMANN BLVD, JEFFERSONVILLE, IN, 47130","Clark Memorial Hospital, 1220 Missouri Ave, Jeffersonville, IN, 47130"
4954,NORTON AUDOBON HOSPITAL,301 GORDON GUTMANN BLVD,JEFFERSONVILLE,IN,47130,10.0,1.0,Clark Memorial Hospital,1220 Missouri Ave,Jeffersonville,IN,47130,n,"NORTON AUDOBON HOSPITAL, 301 GORDON GUTMANN BLVD, JEFFERSONVILLE, IN, 47130","Clark Memorial Hospital, 1220 Missouri Ave, Jeffersonville, IN, 47130"
4955,NORTON BROWNSBORO HOSPITAL,301 GORDON GUTMANN BLVD,JEFFERSONVILLE,IN,47130,10.0,1.0,Clark Memorial Hospital,1220 Missouri Ave,Jeffersonville,IN,47130,n,"NORTON BROWNSBORO HOSPITAL, 301 GORDON GUTMANN BLVD, JEFFERSONVILLE, IN, 47130","Clark Memorial Hospital, 1220 Missouri Ave, Jeffersonville, IN, 47130"
4956,NORTON SUBURBAN HOSPITAL,301 GORDON GUTMANN BLVD,JEFFERSONVILLE,IN,47130,10.0,1.0,Clark Memorial Hospital,1220 Missouri Ave,Jeffersonville,IN,47130,n,"NORTON SUBURBAN HOSPITAL, 301 GORDON GUTMANN BLVD, JEFFERSONVILLE, IN, 47130","Clark Memorial Hospital, 1220 Missouri Ave, Jeffersonville, IN, 47130"
4958,"VIA CHRISTI HOSPITAL PITTSBURG, INC PHA""",1 Mt. Carmel Way,PITTSBURG,KS,66762,10.0,1.0,Mt Carmel Regional Medical Center,1102 E Centennial Dr,Pittsburg,KS,66762,n,"VIA CHRISTI HOSPITAL PITTSBURG, INC PHA"", 1 Mt. Carmel Way, PITTSBURG, KS, 66762","Mt Carmel Regional Medical Center, 1102 E Centennial Dr, Pittsburg, KS, 66762"
4959,NORTON SUBURBAN HOSPITAL,131 STONECREST RD,SHELBYVILLE,KY,40065,10.0,1.0,Jewish Hospital - Shelbyville,727 Hospital Dr,Shelbyville,KY,40065,n,"NORTON SUBURBAN HOSPITAL, 131 STONECREST RD, SHELBYVILLE, KY, 40065","Jewish Hospital - Shelbyville, 727 Hospital Dr, Shelbyville, KY, 40065"
4961,WALGREENS INFUSION PHARMA,83 BOGLE OFFICE PARK DR,SOMERSET,KY,42503,10.0,1.0,Lake Cumberland Regional Hospital,305 Langdon St,Somerset,KY,42503,n,"WALGREENS INFUSION PHARMA, 83 BOGLE OFFICE PARK DR, SOMERSET, KY, 42503","Lake Cumberland Regional Hospital, 305 Langdon St, Somerset, KY, 42503"
4962,CAREPOINT PARTNERS,4621 W NAPOLEON AVE STE 200,METAIRIE,LA,70001,10.0,1.0,Tulane - Lakeside Hospital,4700 S I 10 Service Rd W,Metairie,LA,70001,n,"CAREPOINT PARTNERS, 4621 W NAPOLEON AVE STE 200, METAIRIE, LA, 70001","Tulane - Lakeside Hospital, 4700 S I 10 Service Rd W, Metairie, LA, 70001"
4963,OCHSNER MEDICAL CTR NORTHSHORE LLC,1000 OCHSNER BLVD,Covington,LA,70433,10.0,1.0,Lakeview Regional Medical Center,95 E Fairway Dr,Covington,LA,70433,n,"OCHSNER MEDICAL CTR NORTHSHORE LLC, 1000 OCHSNER BLVD, Covington, LA, 70433","Lakeview Regional Medical Center, 95 E Fairway Dr, Covington, LA, 70433"
4964,OCHSNER MED CTR,1000 Ochsner Blvd.,Covington,LA,70433,10.0,1.0,Lakeview Regional Medical Center,95 E Fairway Dr,Covington,LA,70433,n,"OCHSNER MED CTR, 1000 Ochsner Blvd., Covington, LA, 70433","Lakeview Regional Medical Center, 95 E Fairway Dr, Covington, LA, 70433"
4965,NATIONAL PHARMACY SERVICES,8860 QUIMPER PL STE 100,SHREVEPORT,LA,71105,10.0,1.0,CHRISTUS Schumpert Highland,1453 E Bert Kouns Industrial Loop,Shreveport,LA,71105,n,"NATIONAL PHARMACY SERVICES, 8860 QUIMPER PL STE 100, SHREVEPORT, LA, 71105","CHRISTUS Schumpert Highland, 1453 E Bert Kouns Industrial Loop, Shreveport, LA, 71105"
4966,RELIANT MEDICAL LLC DBA RELIANT HEALTHCA,1004 N 19TH ST,MONROE,LA,71201,10.0,1.0,St Francis Medical Center,309 Jackson St,Monroe,LA,71201,n,"RELIANT MEDICAL LLC DBA RELIANT HEALTHCA, 1004 N 19TH ST, MONROE, LA, 71201","St Francis Medical Center, 309 Jackson St, Monroe, LA, 71201"
4967,PROFESSIONALCARE PHARMACY,4106 DESIARD ST,MONROE,LA,71203,10.0,1.0,St Francis North Hospital,3421 Medical Park Dr,Monroe,LA,71203,n,"PROFESSIONALCARE PHARMACY, 4106 DESIARD ST, MONROE, LA, 71203","St Francis North Hospital, 3421 Medical Park Dr, Monroe, LA, 71203"
4968,HILLCREST HOSPITAL,165 TOR CT,PITTSFIELD,MA,01201,10.0,1.0,Berkshire Medical Center - Berkshir,725 North St,Pittsfield,MA,01201,n,"HILLCREST HOSPITAL, 165 TOR CT, PITTSFIELD, MA, 01201","Berkshire Medical Center - Berkshir, 725 North St, Pittsfield, MA, 01201"
4969,HILLCREST HOSPITAL,8 Conte Drive,PITTSFIELD,MA,01201,10.0,1.0,Berkshire Medical Center - Berkshir,725 North St,Pittsfield,MA,01201,n,"HILLCREST HOSPITAL, 8 Conte Drive, PITTSFIELD, MA, 01201","Berkshire Medical Center - Berkshir, 725 North St, Pittsfield, MA, 01201"
4970,BETH ISRAEL DEACONESS MEDICAL CTR,4 BUCKINGHAM ST,CAMBRIDGE,MA,02138,10.0,1.0,Mount Auburn Hospital,330 Mount Auburn St,Cambridge,MA,02138,n,"BETH ISRAEL DEACONESS MEDICAL CTR, 4 BUCKINGHAM ST, CAMBRIDGE, MA, 02138","Mount Auburn Hospital, 330 Mount Auburn St, Cambridge, MA, 02138"
4971,DANA FARBER CANCER INST,CTR OF GASTROINTESTINAL ONCOLO,BOSTON,MA,02215,10.0,1.0,Beth Israel Deaconess Medical Cente,330 Brookline Ave,Boston,MA,02215,n,"DANA FARBER CANCER INST, CTR OF GASTROINTESTINAL ONCOLO, BOSTON, MA, 02215","Beth Israel Deaconess Medical Cente, 330 Brookline Ave, Boston, MA, 02215"
4972,BOSTON MEDICAL CENTER,81 PERRY ST,BROOKLINE,MA,02446,10.0,1.0,Arbour H R I Hospital,227 Babcock St,Brookline,MA,02446,n,"BOSTON MEDICAL CENTER, 81 PERRY ST, BROOKLINE, MA, 02446","Arbour H R I Hospital, 227 Babcock St, Brookline, MA, 02446"
4973,WOMEN & INFANTS HOSPITAL OF RI,373 NEW BOSTON RD,FALL RIVER,MA,02720,10.0,1.0,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,n,"WOMEN & INFANTS HOSPITAL OF RI, 373 NEW BOSTON RD, FALL RIVER, MA, 02720","Charlton Memorial Hospital, 363 Highland Ave, Fall River, MA, 02720"
4975,UNIV OF MD SYS PHS,UNIVERSITY OF MARYLAND + 22SOU,BALTIMORE,MD,21201,10.0,1.0,Maryland General Hospital,827 Linden Ave,Baltimore,MD,21201,n,"UNIV OF MD SYS PHS, UNIVERSITY OF MARYLAND + 22SOU, BALTIMORE, MD, 21201","Maryland General Hospital, 827 Linden Ave, Baltimore, MD, 21201"
4976,UPPER CHESAPEAKE MED CTR,9114 PHILADELPHIA RD,ROSEDALE,MD,21237,10.0,1.0,Franklin Square Hospital Center,9000 Franklin Square Dr,Baltimore,MD,21237,n,"UPPER CHESAPEAKE MED CTR, 9114 PHILADELPHIA RD, ROSEDALE, MD, 21237","Franklin Square Hospital Center, 9000 Franklin Square Dr, Baltimore, MD, 21237"
4977,WESTERN MARYLAND REG MED CTR,12500 WILLOWBROOK RD,CUMBERLAND,MD,21502,10.0,1.0,Thomas B Finan Center,10102 Country Club Rd SE,Cumberland,MD,21502,n,"WESTERN MARYLAND REG MED CTR, 12500 WILLOWBROOK RD, CUMBERLAND, MD, 21502","Thomas B Finan Center, 10102 Country Club Rd SE, Cumberland, MD, 21502"
4978,WESTERN MARYLAND REG MED CTR,12502 WILLOWBROOK RD,CUMBERLAND,MD,21502,10.0,1.0,Thomas B Finan Center,10102 Country Club Rd SE,Cumberland,MD,21502,n,"WESTERN MARYLAND REG MED CTR, 12502 WILLOWBROOK RD, CUMBERLAND, MD, 21502","Thomas B Finan Center, 10102 Country Club Rd SE, Cumberland, MD, 21502"
4979,WESTERN MARYLAND REG MED CTR,12502 Willowbrook Rd; Ste 300,CUMBERLAND,MD,21502,10.0,1.0,Thomas B Finan Center,10102 Country Club Rd SE,Cumberland,MD,21502,n,"WESTERN MARYLAND REG MED CTR, 12502 Willowbrook Rd; Ste 300, CUMBERLAND, MD, 21502","Thomas B Finan Center, 10102 Country Club Rd SE, Cumberland, MD, 21502"
4980,O P T I O N CARE OF,3 COMMERCE DR,CUMBERLAND,MD,21502,10.0,1.0,Thomas B Finan Center,10102 Country Club Rd SE,Cumberland,MD,21502,n,"O P T I O N CARE OF, 3 COMMERCE DR, CUMBERLAND, MD, 21502","Thomas B Finan Center, 10102 Country Club Rd SE, Cumberland, MD, 21502"
4981,KARMANOS CANCER CTR,4 HWCRC,DETROIT,MI,48201,10.0,1.0,Childrens Hospital of Michigan,3901 Beaubien St,Detroit,MI,48201,n,"KARMANOS CANCER CTR, 4 HWCRC, DETROIT, MI, 48201","Childrens Hospital of Michigan, 3901 Beaubien St, Detroit, MI, 48201"
4982,KARMANOS CANCER CTR,19229 MACK AVE,GROSSE POINTE,MI,48236,10.0,1.0,St John Hospital and Medical Center,22101 Moross Rd,Detroit,MI,48236,n,"KARMANOS CANCER CTR, 19229 MACK AVE, GROSSE POINTE, MI, 48236","St John Hospital and Medical Center, 22101 Moross Rd, Detroit, MI, 48236"
4983,WILLIAM BEAUMONT HOSPITAL,1701 SOUTH BLVD E STE 190,ROCHESTER,MI,48307,10.0,1.0,Crittenton Hospital,1101 W University Dr,Rochester,MI,48307,n,"WILLIAM BEAUMONT HOSPITAL, 1701 SOUTH BLVD E STE 190, ROCHESTER, MI, 48307","Crittenton Hospital, 1101 W University Dr, Rochester, MI, 48307"
4984,COVENANT HEALTHCARE MED CENTER,302 KENSINGTON AVE,FLINT,MI,48503,10.0,1.0,Hurley Medical Center,1 Hurley Plz,Flint,MI,48503,n,"COVENANT HEALTHCARE MED CENTER, 302 KENSINGTON AVE, FLINT, MI, 48503","Hurley Medical Center, 1 Hurley Plz, Flint, MI, 48503"
4985,GENESYS REGIONAL MEDICAL CENTER,302 Kensington Avenue,FLINT,MI,48503,10.0,1.0,Hurley Medical Center,1 Hurley Plz,Flint,MI,48503,n,"GENESYS REGIONAL MEDICAL CENTER, 302 Kensington Avenue, FLINT, MI, 48503","Hurley Medical Center, 1 Hurley Plz, Flint, MI, 48503"
4986,MCLAREN GREATER LANSING,2901 STABLER ST,LANSING,MI,48910,10.0,1.0,Ingham Regional Medical Center - Gr,401 W Greenlawn Ave,Lansing,MI,48910,n,"MCLAREN GREATER LANSING, 2901 STABLER ST, LANSING, MI, 48910","Ingham Regional Medical Center - Gr, 401 W Greenlawn Ave, Lansing, MI, 48910"
4987,MEMORIAL HEALTHCARE CENTER,1540 LAKE LANSING RD,LANSING,MI,48912,10.0,1.0,Sparrow Hospital,1215 E Michigan Ave,Lansing,MI,48912,n,"MEMORIAL HEALTHCARE CENTER, 1540 LAKE LANSING RD, LANSING, MI, 48912","Sparrow Hospital, 1215 E Michigan Ave, Lansing, MI, 48912"
4988,MIDMICHIGAN MEDICAL CENTER,1540 Lake Lansing Road,LANSING,MI,48912,10.0,1.0,Sparrow Hospital,1215 E Michigan Ave,Lansing,MI,48912,n,"MIDMICHIGAN MEDICAL CENTER, 1540 Lake Lansing Road, LANSING, MI, 48912","Sparrow Hospital, 1215 E Michigan Ave, Lansing, MI, 48912"
4989,HILLSDALE COMM HEALTH CENTER,215 E MANSION ST,MARSHALL,MI,49068,10.0,1.0,Oaklawn Hospital,200 N Madison St,Marshall,MI,49068,n,"HILLSDALE COMM HEALTH CENTER, 215 E MANSION ST, MARSHALL, MI, 49068","Oaklawn Hospital, 200 N Madison St, Marshall, MI, 49068"
4991,ALLEGIANCE HEALTH SYS,1100 E. Michigan Avenue,JACKSON,MI,49201,10.0,1.0,W A Foote Memorial Hospital,205 N East Ave,Jackson,MI,49201,n,"ALLEGIANCE HEALTH SYS, 1100 E. Michigan Avenue, JACKSON, MI, 49201","W A Foote Memorial Hospital, 205 N East Ave, Jackson, MI, 49201"
4992,ST MARYS HEALTH SERVICES,200 JEFFERSON AVE SE,GRAND RAPIDS,MI,49503,10.0,1.0,Spectrum Health - Butterworth Hospi,100 Michigan St NE,Grand Rapids,MI,49503,n,"ST MARYS HEALTH SERVICES, 200 JEFFERSON AVE SE, GRAND RAPIDS, MI, 49503","Spectrum Health - Butterworth Hospi, 100 Michigan St NE, Grand Rapids, MI, 49503"
4993,MERCY HEALTH PHARMACY-WEGE CENTER,300 LAFAYETTE AVE SE,GRAND RAPIDS,MI,49503,10.0,1.0,Spectrum Health - Butterworth Hospi,100 Michigan St NE,Grand Rapids,MI,49503,n,"MERCY HEALTH PHARMACY-WEGE CENTER, 300 LAFAYETTE AVE SE, GRAND RAPIDS, MI, 49503","Spectrum Health - Butterworth Hospi, 100 Michigan St NE, Grand Rapids, MI, 49503"
4994,OTSEGO MEMORIAL HOSPITAL,3537 W FRONT ST STE H,TRAVERSE CITY,MI,49684,10.0,1.0,Munson Medical Center,1105 6th St,Traverse City,MI,49684,n,"OTSEGO MEMORIAL HOSPITAL, 3537 W FRONT ST STE H, TRAVERSE CITY, MI, 49684","Munson Medical Center, 1105 6th St, Traverse City, MI, 49684"
4995,ALLINA HEALTH PIPER BUILDING PHARMA,913 E 26TH ST,MINNEAPOLIS,MN,55404,10.0,1.0,Childrens Hospitals and Clinics - M,2525 Chicago Ave S,Minneapolis,MN,55404,n,"ALLINA HEALTH PIPER BUILDING PHARMA, 913 E 26TH ST, MINNEAPOLIS, MN, 55404","Childrens Hospitals and Clinics - M, 2525 Chicago Ave S, Minneapolis, MN, 55404"
4996,ST JOHNS HOSPITAL,"701 PARK AVE, MAILCODE G5""",MINNEAPOLIS,MN,55415,10.0,1.0,Hennepin County Medical Center,701 Park Ave S,Minneapolis,MN,55415,n,"ST JOHNS HOSPITAL, 701 PARK AVE, MAILCODE G5"", MINNEAPOLIS, MN, 55415","Hennepin County Medical Center, 701 Park Ave S, Minneapolis, MN, 55415"
4997,ST FRANCIS REGIONAL MEDICAL CENTER,3931 LOUISIANA AVE S,MINNEAPOLIS,MN,55426,10.0,1.0,Methodist Hospital,6500 Excelsior Blvd,Saint Louis Park,MN,55426,n,"ST FRANCIS REGIONAL MEDICAL CENTER, 3931 LOUISIANA AVE S, MINNEAPOLIS, MN, 55426","Methodist Hospital, 6500 Excelsior Blvd, Saint Louis Park, MN, 55426"
4998,CLAYTON HEALTH SERVICES PHARMACY WE,1035 BELLEVUE AVE,SAINT LOUIS,MO,63117,10.0,1.0,SSM St Marys Health Center,6420 Clayton Rd,Saint Louis,MO,63117,n,"CLAYTON HEALTH SERVICES PHARMACY WE, 1035 BELLEVUE AVE, SAINT LOUIS, MO, 63117","SSM St Marys Health Center, 6420 Clayton Rd, Saint Louis, MO, 63117"
4999,SPECIAL DESIGN HEALTH CAR,61 DOCTORS PARK,CAPE GIRARDEAU,MO,63703,10.0,1.0,Saint Francis Medical Center,211 Saint Francis Dr,Cape Girardeau,MO,63703,n,"SPECIAL DESIGN HEALTH CAR, 61 DOCTORS PARK, CAPE GIRARDEAU, MO, 63703","Saint Francis Medical Center, 211 Saint Francis Dr, Cape Girardeau, MO, 63703"
5000,MERCY HOSP,1605 MARTIN SPRINGS DR STE 150,ROLLA,MO,65401,10.0,1.0,Phelps County Regional Medical Cent,1000 W 10th St,Rolla,MO,65401,n,"MERCY HOSP, 1605 MARTIN SPRINGS DR STE 150, ROLLA, MO, 65401","Phelps County Regional Medical Cent, 1000 W 10th St, Rolla, MO, 65401"
5001,COX MEDICAL CENTER BRANSON,525 BRANSON LANDING BLVD,BRANSON,MO,65616,10.0,1.0,Skaggs Community Health Center,251 Skaggs Rd,Branson,MO,65616,n,"COX MEDICAL CENTER BRANSON, 525 BRANSON LANDING BLVD, BRANSON, MO, 65616","Skaggs Community Health Center, 251 Skaggs Rd, Branson, MO, 65616"
5002,VITAL CARE,1501 23RD AVE,MERIDIAN,MS,39301,10.0,1.0,Riley Memorial Hospital,1102 Constitution Ave,Meridian,MS,39301,n,"VITAL CARE, 1501 23RD AVE, MERIDIAN, MS, 39301","Riley Memorial Hospital, 1102 Constitution Ave, Meridian, MS, 39301"
5003,ANDERSON PHARMACY,2024 15TH ST FL 1,MERIDIAN,MS,39301,10.0,1.0,Riley Memorial Hospital,1102 Constitution Ave,Meridian,MS,39301,n,"ANDERSON PHARMACY, 2024 15TH ST FL 1, MERIDIAN, MS, 39301","Riley Memorial Hospital, 1102 Constitution Ave, Meridian, MS, 39301"
5005,NORTHWEST ONCOLOGY AND HEMATOLOGY,350 HERITAGE WAY,KALISPELL,MT,59901,10.0,1.0,Kalispell Regional Medical Center,310 Sunnyview Ln,Kalispell,MT,59901,n,"NORTHWEST ONCOLOGY AND HEMATOLOGY, 350 HERITAGE WAY, KALISPELL, MT, 59901","Kalispell Regional Medical Center, 310 Sunnyview Ln, Kalispell, MT, 59901"
5006,NORTHWEST ONCOLOGY AND HEMATOLOGY,"350 Heritage Way, Suite 1100""",KALISPELL,MT,59901,10.0,1.0,Kalispell Regional Medical Center,310 Sunnyview Ln,Kalispell,MT,59901,n,"NORTHWEST ONCOLOGY AND HEMATOLOGY, 350 Heritage Way, Suite 1100"", KALISPELL, MT, 59901","Kalispell Regional Medical Center, 310 Sunnyview Ln, Kalispell, MT, 59901"
5008,HOSPICE & PALLIATIVE CARE,101 HOSPICE LN,WINSTON SALEM,NC,27103,10.0,1.0,Amos Cottage Rehabilitation Hospita,3325 Silas Creek Pkwy,Winston-salem,NC,27103,n,"HOSPICE & PALLIATIVE CARE, 101 HOSPICE LN, WINSTON SALEM, NC, 27103","Amos Cottage Rehabilitation Hospita, 3325 Silas Creek Pkwy, Winston-salem, NC, 27103"
5011,NC CORRECT CTR FOR WOMEN,1034 BRAGG ST,RALEIGH,NC,27610,10.0,1.0,Holly Hill Hospital,3019 Falstaff Rd,Raleigh,NC,27610,n,"NC CORRECT CTR FOR WOMEN, 1034 BRAGG ST, RALEIGH, NC, 27610","Holly Hill Hospital, 3019 Falstaff Rd, Raleigh, NC, 27610"
5012,GIBSON CANCER CENTER,BOX 3381,DURHAM,NC,27710,10.0,1.0,Duke University Hospital,Erwin Rd,Durham,NC,27710,n,"GIBSON CANCER CENTER, BOX 3381, DURHAM, NC, 27710","Duke University Hospital, Erwin Rd, Durham, NC, 27710"
5015,VIDANT MEDICAL CENTER,DIV OF HEMATOLOGY/ONCOLOGY + 3,GREENVILLE,NC,27834,10.0,1.0,Pitt County Memorial Hospital,2100 Stantonsburg Rd,Greenville,NC,27834,n,"VIDANT MEDICAL CENTER, DIV OF HEMATOLOGY/ONCOLOGY + 3, GREENVILLE, NC, 27834","Pitt County Memorial Hospital, 2100 Stantonsburg Rd, Greenville, NC, 27834"
5016,VIDANT MEDICAL CENTER,Leo Jenkins Cancer Center; 600 Moye Blvd,GREENVILLE,NC,27834,10.0,1.0,Pitt County Memorial Hospital,2100 Stantonsburg Rd,Greenville,NC,27834,n,"VIDANT MEDICAL CENTER, Leo Jenkins Cancer Center; 600 Moye Blvd, GREENVILLE, NC, 27834","Pitt County Memorial Hospital, 2100 Stantonsburg Rd, Greenville, NC, 27834"
5017,GIBSON CANCER CENTER,1200 Pine Run,LUMBERTON,NC,28358,10.0,1.0,Southeastern Regional Medical Cente,300 W 27th St,Lumberton,NC,28358,n,"GIBSON CANCER CENTER, 1200 Pine Run, LUMBERTON, NC, 28358","Southeastern Regional Medical Cente, 300 W 27th St, Lumberton, NC, 28358"
5018,GIBSON CANCER CENTER,1200 PINE RUN DR,LUMBERTON,NC,28358,10.0,1.0,Southeastern Regional Medical Cente,300 W 27th St,Lumberton,NC,28358,n,"GIBSON CANCER CENTER, 1200 PINE RUN DR, LUMBERTON, NC, 28358","Southeastern Regional Medical Cente, 300 W 27th St, Lumberton, NC, 28358"
5019,GIBSON CANCER CENTER,1200 Pine Run Drive;,LUMBERTON,NC,28358,10.0,1.0,Southeastern Regional Medical Cente,300 W 27th St,Lumberton,NC,28358,n,"GIBSON CANCER CENTER, 1200 Pine Run Drive;, LUMBERTON, NC, 28358","Southeastern Regional Medical Cente, 300 W 27th St, Lumberton, NC, 28358"
5021,GIBSON CANCER CENTER,711 N. Franklin St.,WHITEVILLE,NC,28472,10.0,1.0,Columbus Regional Healthcare System,500 Jefferson St,Whiteville,NC,28472,n,"GIBSON CANCER CENTER, 711 N. Franklin St., WHITEVILLE, NC, 28472","Columbus Regional Healthcare System, 500 Jefferson St, Whiteville, NC, 28472"
5023,MARY HITCHCK MEM HSP RECV,50 LABOMBARD RD N,LEBANON,NH,03766,10.0,1.0,Alice Peck Day Memorial Hospital,125 Mascoma St,Lebanon,NH,03766,n,"MARY HITCHCK MEM HSP RECV, 50 LABOMBARD RD N, LEBANON, NH, 03766","Alice Peck Day Memorial Hospital, 125 Mascoma St, Lebanon, NH, 03766"
